Anyo;supervivientes_total;supervivientes_hombres;supervivientes_mujeres
2019;3780,439993;2198,079418;5197,540038
2018;3263,589248;1918,002639;4488,452054
2017;3082,274992;1805,886298;4237,085092
2016;3434,18332;1976,935358;4738,017206
2015;2670,572319;1468,252136;3739,21316
2014;3393,45304;1923,912554;4678,189452
2013;3308,231016;1857,759223;4575,657078
2012;2508,023462;1290,193839;3581,342158
2011;2748,54894;1457,888109;3882,026807
2010;2559,994056;1284,381121;3683,594854
2009;2192,305982;1123,001823;3137,883336
2008;1849,107312;897,863805;2688,367656
2007;1659,165576;789,024802;2450,029741
2006;1772,860473;870,279375;2584,232658
2005;1214,564131;579,899132;1800,649545
2004;1496,324043;694,950936;2231,370617
2003;1095,025833;517,922758;1630,825813
2002;1313,927449;650,335352;1929,031641
2001;1413,482135;652,943968;2120,966458
2000;1178,064396;530,857806;1782,365452
1999;684,559932;306,724162;1047,466139
1998;632,572266;262,857103;987,763821
1997;627,349465;246,216608;988,105031
1996;559,500149;235,767428;869,103472
1995;634,557446;320,62376;932,671633
1994;724,176631;304,59748;1122,218936
1993;740,54086;383,526513;1080,724151
1992;796,113924;418,967415;1153,7054
1991;684,073051;307,967784;1042,109365
